Geographic Area,Pop.2019
"Ocean City, NJ",92039
"Odessa, TX",166223
"Ogden-Clearfield, UT",683864
"Oklahoma City, OK",1408950
"Olympia-Lacey-Tumwater, WA",290536
"Omaha-Council Bluffs, NE-IA",949442
"Orlando-Kissimmee-Sanford, FL",2608147
"Oshkosh-Neenah, WI",171907
"Owensboro, KY",119440
"Oxnard-Thousand Oaks-Ventura, CA",846006
"Palm Bay-Melbourne-Titusville, FL",601942
"Panama City, FL",174705
"Parkersburg-Vienna, WV",89339
"Pensacola-Ferry Pass-Brent, FL",502629
"Peoria, IL",400561
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6102434
"Camden, NJ Metro Division",1243456
"Montgomery County-Bucks County-Chester County, PA Metro Division",1984174
"Philadelphia, PA Metro Division",2150811
"Wilmington, DE-MD-NJ Metro Division",723993
"Phoenix-Mesa-Chandler, AZ",4948203
"Pine Bluff, AR",87804
"Pittsburgh, PA",2317600
"Pittsfield, MA",124944
"Pocatello, ID",95489
"Portland-South Portland, ME",538500
"Portland-Vancouver-Hillsboro, OR-WA",2492412
"Port St Lucie, FL",489297
"Poughkeepsie-Newburgh-Middletown, NY",679158
"Prescott Valley-Prescott, AZ",235099
"Providence-Warwick, RI-MA",1624578
"Provo-Orem, UT",648252
"Pueblo, CO",168424
"Punta Gorda, FL",188910
"Racine, WI",196311
"Raleigh-Cary, NC",1390785
"Rapid City, SD",142107
"Reading, PA",421164
"Redding, CA",180080
"Reno, NV",475642
"Richmond, VA",1291900
"Riverside-San Bernardino-Ontario, CA",4650631
"Roanoke, VA",313222
"Rochester, MN",221921
"Rochester, NY",1069644
"Rockford, IL",336116
"Rocky Mount, NC",145770
"Rome, GA",98498
"Sacramento-Roseville-Folsom, CA",2363730
"Saginaw, MI",190539
"St Cloud, MN",201964
"St George, UT",177556
"St Joseph, MO-KS",125223
"St Louis, MO-IL",2803228
"Salem, OR",433903
"Salinas, CA",434061
"Salisbury, MD-DE",415726
"Salt Lake City, UT",1232696
"San Angelo, TX",122027
"San Antonio-New Braunfels, TX",2550960
"San Diego-Chula Vista-Carlsbad, CA",3338330
"San Francisco-Oakland-Berkeley, CA",4731803
"Oakland-Berkeley-Livermore, CA Metro Division",2824855
"San Francisco-San Mateo-Redwood City, CA Metro Division",1648122
"San Rafael, CA Metro Division",258826
"San Jose-Sunnyvale-Santa Clara, CA",1990660
"San Luis Obispo-Paso Robles, CA",283111
"Santa Cruz-Watsonville, CA",273213
"Santa Fe, NM",150358
"Santa Maria-Santa Barbara, CA",446499
"Santa Rosa-Petaluma, CA",494336
"Savannah, GA",393353
"Scranton--Wilkes-Barre, PA",553885
"Seattle-Tacoma-Bellevue, WA",3979845
"Seattle-Bellevue-Kent, WA Metro Division",3074865
"Tacoma-Lakewood, WA Metro Division",904980
"Sebastian-Vero Beach, FL",159923
"Sebring-Avon Park, FL",106221
"Sheboygan, WI",115340
"Sherman-Denison, TX",136212
"Shreveport-Bossier City, LA",394706
"Sierra Vista-Douglas, AZ",125922
"Sioux City, IA-NE-SD",144701
"Sioux Falls, SD",268232
"South Bend-Mishawaka, IN-MI",323613
"Spartanburg, SC",319785
"Spokane-Spokane Valley, WA",568521
"Springfield, IL",206868
"Springfield, MA",697382
"Springfield, MO",470300
"Springfield, OH",134083
"State College, PA",162385
"Staunton, VA",123120
"Stockton, CA",762148
"Sumter, SC",140466
"Syracuse, NY",648593
"Tallahassee, FL",387227
"Tampa-St Petersburg-Clearwater, FL",3194831
"Terre Haute, IN",186367
"Texarkana, TX-AR",148761
"The Villages, FL",132420
